question,reference,prediction,rouge1,rouge2,rougeL,bleu
What is the nursing process used for in fluid and electrolyte imbalances?,It ensures continuous assessment and appropriate interventions as conditions change rapidly.,"The nursing process is used to assess, diagnose, plan, implement, and evaluate fluid and electrolyte imbalances.",0.1481,0.0,0.1481,0.0
What should be included in a hospital’s restraint policy?,"Requirements for documentation, alternative measures, behavioral criteria for removal, and monitoring procedures.","The policy should include criteria for restraint use, documentation requirements, and alternatives to restraints.",0.4615,0.0833,0.2308,0.0
Is cyclic vomiting syndrome inherited ?,"In most cases of cyclic vomiting syndrome, affected people have no known history of the disorder in their family. However, many affected individuals have a family history of related conditions, such as migraines, irritable bowel syndrome, or depression, in their mothers and other maternal relatives. This family history suggests an inheritance pattern known as maternal inheritance or mitochondrial inheritance, which applies to genes contained in mtDNA. Because egg cells, but not sperm cells, contribute mitochondria to the developing embryo, children can only inherit disorders resulting from mtDNA mutations from their mother. These disorders can appear in every generation of a family and can affect both males and females, but fathers do not pass traits associated with changes in mtDNA to their children. Occasionally, people with cyclic vomiting syndrome have a family history of the disorder that does not follow maternal inheritance. In these cases, the inheritance pattern is unknown.","Most cases of cyclic vomiting syndrome are not inherited. However, some cases have been reported to run in families. In these cases, the condition is likely caused by a combination of genetic and environmental factors.",0.2391,0.0879,0.1739,0.0
Who is at risk for Neuroblastoma? ?,"Key Points - Screening tests have risks. - The risks of neuroblastoma screening include the following: - Neuroblastoma may be overdiagnosed. - False-negative test results can occur. - False-positive test results can occur. Screening tests have risks. Decisions about screening tests can be difficult. Not all screening tests are helpful and most have risks. Before having any screening test, you may want to discuss the test with your doctor. It is important to know the risks of the test and whether it has been proven to reduce the risk of dying from cancer. The risks of neuroblastoma screening include the following: Neuroblastoma may be overdiagnosed. When a screening test result leads to the diagnosis and treatment of a disease that may never have caused symptoms or become life-threatening, it is called overdiagnosis. For example, when a urine test result shows a higher than normal amount of homovanillic acid (HMA) or vanillyl mandelic acid (VMA), tests and treatments for neuroblastoma are likely to be done, but may not be needed. At this time, it is not possible to know which neuroblastomas found by a screening test will cause symptoms and which neuroblastomas will not. Diagnostic tests (such as biopsies) and cancer treatments (such as surgery, radiation therapy, and chemotherapy) can have serious risks, including physical and emotional problems. False-negative test results can occur. Screening test results may appear to be normal even though neuroblastoma is present. A person who receives a false-negative test result (one that shows there is no cancer when there really is) may delay seeking medical care even if there are symptoms. False-positive test results can occur. Screening test results may appear to be abnormal even though no cancer is present. A false-positive test result (one that shows there is cancer when there really isn't) can cause anxiety and is usually followed by more tests and procedures, which also have risks.",Neuroblastoma is a rare disease. It is the most common cancer in infants and young children. It is more common in boys than in girls. The disease is more common in certain ethnic groups. It is more common in African Americans and Hispanics than in Caucasians.,0.105,0.0222,0.0718,0.0
What are the major drug interactions with Warfarin?,"NSAIDs, antibiotics, and antifungal medications interact with Warfarin.","Warfarin interacts with antibiotics, antifungals, and NSAIDs, increasing bleeding risk.",0.7778,0.125,0.2222,0.0
How do you convert 3:45 PM to military time?,3:45 PM in military time is 1545.,3:45 PM in military time is 1545.,1.0,1.0,1.0,0.0
What to do for Diabetic Neuropathies: The Nerve Damage of Diabetes ?,"- Diabetic neuropathies are nerve disorders caused by many of the abnormalities common to diabetes, such as high blood glucose. - Neuropathy can affect nerves throughout the body, causing numbness and sometimes pain in the hands, arms, feet, or legs, and problems with the digestive tract, heart, sex organs, and other body systems. - Treatment first involves bringing blood glucose levels within the normal range. Good blood glucose control may help prevent or delay the onset of further problems. - Foot care is an important part of treatment. People with neuropathy need to inspect their feet daily for any injuries. Untreated injuries increase the risk of infected foot sores and amputation. - Treatment also includes pain relief and other medications as needed, depending on the type of nerve damage. - Smoking increases the risk of foot problems and amputation. A health care provider may be able to provide help with quitting.","- Diabetic neuropathy is a type of nerve damage that can occur if blood glucose levels are too high over a long period of time. - Diabetic neuropathy can affect nerves in the legs, feet, and hands. - Diabetic neuropathy can cause pain, tingling, numbness, and weakness in the affected areas. - Diabetic neuropathy can also affect the digestive system, urinary tract, and sex organs. - Diabetic neuropathy can be treated, but not cured. - People with diabetes should have regular checkups to detect and treat diabetic neuropathy early. - People with diabetic neuropathy should take steps to prevent further nerve damage. - People with diabetic neuropathy should take steps to prevent foot problems. - People with diabetic neuropathy should take steps to prevent infections. - People with diabetic neuropathy should take steps to prevent injuries. - People with diabetic neuropathy should take steps to prevent complications.",0.3915,0.1075,0.2206,0.0
What are the genetic changes related to 5q minus syndrome ?,"5q- syndrome is caused by deletion of a region of DNA from the long (q) arm of chromosome 5. Most people with 5q- syndrome are missing a sequence of about 1.5 million DNA building blocks (base pairs), also written as 1.5 megabases (Mb). However, the size of the deleted region varies. This deletion occurs in immature blood cells during a person's lifetime and affects one of the two copies of chromosome 5 in each cell. The commonly deleted region of DNA contains 40 genes, many of which play a critical role in normal blood cell development. Research suggests that loss of multiple genes in this region contributes to the features of 5q- syndrome. Loss of the RPS14 gene leads to the problems with red blood cell development characteristic of 5q- syndrome, and loss of MIR145 or MIR146A contributes to the megakaryocyte and platelet abnormalities and may promote the overgrowth of immature cells. Scientists are still determining how the loss of other genes in the deleted region might be involved in the features of 5q- syndrome.","5q minus syndrome is caused by a deletion of genetic material from the long (q) arm of chromosome 5. The size of the deletion varies among affected individuals. The deletion of genetic material from chromosome 5 can disrupt the function of many genes, which likely contributes to the signs and symptoms of 5q minus syndrome. The deletion of genetic material from chromosome 5 is not inherited; it occurs as a random event during the formation of reproductive cells (eggs and sperm) or in early embryonic development.",0.4167,0.1527,0.3182,0.0
Which part of the spinal cord carries sensory information to the brain?,Ascending (sensory) pathways,The dorsal (posterior) column.,0.0,0.0,0.0,0.0
How does religion differ from spirituality?,"Religion is an organized system of beliefs and practices, whereas spirituality is a broader concept of personal meaning and connection.","Religion is organized and structured, while spirituality is personal and individual.",0.5161,0.1379,0.5161,0.0
What are the two main types of nursing care?,Direct care and indirect care.,Direct care and indirect care.,1.0,1.0,1.0,0.0
What are the symptoms of Spastic paraplegia 2 ?,"What are the signs and symptoms of Spastic paraplegia 2? The Human Phenotype Ontology provides the following list of signs and symptoms for Spastic paraplegia 2. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Gait disturbance 90% Hyperreflexia 90% Muscle weakness 90% Abnormal renal physiology 50% Abnormality of extrapyramidal motor function 50% Bowel incontinence 50% Cognitive impairment 50% Optic atrophy 50% Incoordination 7.5% Limitation of joint mobility 7.5% Neurological speech impairment 7.5% Nystagmus 7.5% Pulmonary embolism 7.5% Recurrent respiratory infections 7.5% Babinski sign - Degeneration of the lateral corticospinal tracts - Dysarthria - Dysmetria - Flexion contracture - Intellectual disability - Juvenile onset - Lower limb muscle weakness - Lower limb spasticity - Pes cavus - Phenotypic variability - Skeletal muscle atrophy - Spastic gait - Spastic paraparesis - Spastic paraplegia - Spinocerebellar tract degeneration - X-linked recessive inheritance - The Human Phenotype Ontology (HPO) has collected information on how often a sign or symptom occurs in a condition. Much of this information comes from Orphanet, a European rare disease database. The frequency of a sign or symptom is usually listed as a rough estimate of the percentage of patients who have that feature. The frequency may also be listed as a fraction. The first number of the fraction is how many people had the symptom, and the second number is the total number of people who were examined in one study. For example, a frequency of 25/25 means that in a study of 25 people all patients were found to have that symptom. Because these frequencies are based on a specific study, the fractions may be different if another group of patients are examined. Sometimes, no information on frequency is available. In these cases, the sign or symptom may be rare or common.","What are the signs and symptoms of Spastic paraplegia 2? The Human Phenotype Ontology provides the following list of signs and symptoms for Spastic paraplegia 2. If the information is available, the table below includes how often the symptom is seen in people with this condition. You can use the MedlinePlus Medical Dictionary to look up the definitions for these medical terms. Signs and Symptoms Approximate number of patients (when available) Abnormality of the hip bone 90% Abnormality of the metacarpal bones 90% Abnormality of the metaphyses 90% Abnormality of the metatarsal bones 90% Abnormality of the metatarsophalangeal joints 90% Abnormality of the metaphysis 90% Abnormality of the metaphyses 50% Abnormality of the metatarsal-phalangeal joints 50% Abnormality of the metatarsal-phalangeal joints 7.5% Abnormality of the metatarsal-phalangeal joints 5",0.4493,0.3407,0.3921,0.0
Why should nurses limit the number of suction passes per session?,To reduce the risk of hypoxia and airway trauma.,To prevent hypoxia and reduce the risk of complications.,0.7778,0.5,0.5556,0.0
