question,reference,prediction,rouge1,rouge2,rougeL,bleu
What is the nursing process used for in fluid and electrolyte imbalances?,It ensures continuous assessment and appropriate interventions as conditions change rapidly.,The nursing process is used to develop a care plan that addresses the specific needs of each patient.,0.0,0.0,0.0,0.0
What should be included in a hospital’s restraint policy?,"Requirements for documentation, alternative measures, behavioral criteria for removal, and monitoring procedures.","A hospital’s restraint policy should include guidelines for restraint use, documentation requirements, and alternative interventions.",0.3571,0.0,0.2143,0.0
Is cyclic vomiting syndrome inherited ?,"In most cases of cyclic vomiting syndrome, affected people have no known history of the disorder in their family. However, many affected individuals have a family history of related conditions, such as migraines, irritable bowel syndrome, or depression, in their mothers and other maternal relatives. This family history suggests an inheritance pattern known as maternal inheritance or mitochondrial inheritance, which applies to genes contained in mtDNA. Because egg cells, but not sperm cells, contribute mitochondria to the developing embryo, children can only inherit disorders resulting from mtDNA mutations from their mother. These disorders can appear in every generation of a family and can affect both males and females, but fathers do not pass traits associated with changes in mtDNA to their children. Occasionally, people with cyclic vomiting syndrome have a family history of the disorder that does not follow maternal inheritance. In these cases, the inheritance pattern is unknown.",The inheritance pattern of cyclic vomiting syndrome is unknown.,0.1139,0.0769,0.1139,0.0
Who is at risk for Neuroblastoma? ?,"Key Points - Screening tests have risks. - The risks of neuroblastoma screening include the following: - Neuroblastoma may be overdiagnosed. - False-negative test results can occur. - False-positive test results can occur. Screening tests have risks. Decisions about screening tests can be difficult. Not all screening tests are helpful and most have risks. Before having any screening test, you may want to discuss the test with your doctor. It is important to know the risks of the test and whether it has been proven to reduce the risk of dying from cancer. The risks of neuroblastoma screening include the following: Neuroblastoma may be overdiagnosed. When a screening test result leads to the diagnosis and treatment of a disease that may never have caused symptoms or become life-threatening, it is called overdiagnosis. For example, when a urine test result shows a higher than normal amount of homovanillic acid (HMA) or vanillyl mandelic acid (VMA), tests and treatments for neuroblastoma are likely to be done, but may not be needed. At this time, it is not possible to know which neuroblastomas found by a screening test will cause symptoms and which neuroblastomas will not. Diagnostic tests (such as biopsies) and cancer treatments (such as surgery, radiation therapy, and chemotherapy) can have serious risks, including physical and emotional problems. False-negative test results can occur. Screening test results may appear to be normal even though neuroblastoma is present. A person who receives a false-negative test result (one that shows there is no cancer when there really is) may delay seeking medical care even if there are symptoms. False-positive test results can occur. Screening test results may appear to be abnormal even though no cancer is present. A false-positive test result (one that shows there is cancer when there really isn't) can cause anxiety and is usually followed by more tests and procedures, which also have risks.","Certain factors increase the risk of neuroblastoma. Anything that increases your chance of getting a disease is called a risk factor. Having a risk factor does not mean that you will get cancer; not having risk factors doesn't mean that you will not get cancer. Talk with your child's doctor if you think your child may be at risk. Risk factors for neuroblastoma include the following: - Having a genetic syndrome, such as neurofibromatosis type 1 (NF1), Down syndrome, or tuberous sclerosis complex. - Having a certain gene mutation. - Having a family history of neuroblastoma. - Having a certain type of cancer in the body. - Having a certain type of immune system disorder. - Having a certain type of birth defect. - Having a certain type of chromosome abnormality. - Having a certain type of heart defect. - Having a certain type of kidney abnormality. - Having a certain type of liver abnormality. - Having a certain type of blood disorder. - Having a certain type of skin abnormality. - Having a certain type of eye abnormality. - Having a certain type of hearing abnormality. - Having a certain type of gastrointestinal abnormality. - Having a certain type of urinary tract abnormality. - Having a certain type of skeletal abnormality.",0.2456,0.0548,0.1365,0.0
What are the major drug interactions with Warfarin?,"NSAIDs, antibiotics, and antifungal medications interact with Warfarin.","Warfarin interacts with anticoagulants, antiplatelet agents, and oral contraceptives.",0.4706,0.1333,0.2353,0.0
How do you convert 3:45 PM to military time?,3:45 PM in military time is 1545.,3:45 PM in military time is 1545.,1.0,1.0,1.0,0.0
What to do for Diabetic Neuropathies: The Nerve Damage of Diabetes ?,"- Diabetic neuropathies are nerve disorders caused by many of the abnormalities common to diabetes, such as high blood glucose. - Neuropathy can affect nerves throughout the body, causing numbness and sometimes pain in the hands, arms, feet, or legs, and problems with the digestive tract, heart, sex organs, and other body systems. - Treatment first involves bringing blood glucose levels within the normal range. Good blood glucose control may help prevent or delay the onset of further problems. - Foot care is an important part of treatment. People with neuropathy need to inspect their feet daily for any injuries. Untreated injuries increase the risk of infected foot sores and amputation. - Treatment also includes pain relief and other medications as needed, depending on the type of nerve damage. - Smoking increases the risk of foot problems and amputation. A health care provider may be able to provide help with quitting.","- Diabetic neuropathy is a group of nerve problems caused by diabetes. - The two main types of diabetic neuropathy are peripheral neuropathy and autonomic neuropathy. - Peripheral neuropathy is the most common type of diabetic neuropathy. - Autonomic neuropathy is a less common type of diabetic neuropathy. - The two main symptoms of peripheral neuropathy are numbness, tingling, and pain in the feet and hands. - The two main symptoms of autonomic neuropathy are problems with the bladder and bowel, and problems with the heart, blood vessels, and sex organs. - The two main symptoms of autonomic neuropathy are problems with the bladder and bowel, and problems with the heart, blood vessels, and sex organs. - The two main symptoms of autonomic neuropathy are problems with the bladder and bowel, and problems with the heart, blood vessels, and sex organs. - The two main symptoms of autonomic neuropathy are problems with the bladder and bowel, and problems with the heart, blood vessels, and sex organs. - The two main symptoms of autonomic neuropathy are problems with the bladder and bowel, and problems with the heart, blood vessels, and sex organs. - The two main symptoms of autonomic neuropathy are problems with the bladder and bowel, and problems with the heart, blood vessels, and sex organs. - The two main symptoms of autonomic neuropathy",0.2857,0.062,0.2353,0.0
What are the genetic changes related to 5q minus syndrome ?,"5q- syndrome is caused by deletion of a region of DNA from the long (q) arm of chromosome 5. Most people with 5q- syndrome are missing a sequence of about 1.5 million DNA building blocks (base pairs), also written as 1.5 megabases (Mb). However, the size of the deleted region varies. This deletion occurs in immature blood cells during a person's lifetime and affects one of the two copies of chromosome 5 in each cell. The commonly deleted region of DNA contains 40 genes, many of which play a critical role in normal blood cell development. Research suggests that loss of multiple genes in this region contributes to the features of 5q- syndrome. Loss of the RPS14 gene leads to the problems with red blood cell development characteristic of 5q- syndrome, and loss of MIR145 or MIR146A contributes to the megakaryocyte and platelet abnormalities and may promote the overgrowth of immature cells. Scientists are still determining how the loss of other genes in the deleted region might be involved in the features of 5q- syndrome.","5q minus syndrome is caused by the loss of genetic material from the long arm of chromosome 5. The size of the deletion varies among affected individuals, but it is typically between 1.5 and 3.5 million DNA building blocks (base pairs). The most common deletion includes the genes for the proteins that make up the protein complex called the retinoblastoma tumor suppressor protein (RB) and the protein that regulates the RB protein, called E2F1. The loss of these genes is thought to impair the function of the RB protein, which normally helps control cell growth and division. It is unclear how the loss of RB and E2F1 genes leads to the specific features of 5q minus syndrome.",0.4444,0.2034,0.3098,0.0
Which part of the spinal cord carries sensory information to the brain?,Ascending (sensory) pathways,The dorsal column.,0.0,0.0,0.0,0.0
How does religion differ from spirituality?,"Religion is an organized system of beliefs and practices, whereas spirituality is a broader concept of personal meaning and connection.","Religion is a set of beliefs and practices, while spirituality is a personal connection to something greater than oneself.",0.5641,0.3243,0.5641,0.0
