user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What are the stages of pressure injuries?,"['- Enter the number of Stage 1 pressure injuries that are currently present.\n\n- Enter 0 if no Stage 1 pressure injuries are currently present.', '- Enter the number of pressure ulcers/injuries that are unstageable related to nonremovable dressing/device.\n\n- Enter 0 if no unstageable pressure ulcers/injuries related to non-removable device are present and skip to M0300F, Unstageable – Slough and/or eschar.', '- The comprehensive care plan should be reevaluated to ensure that appropriate preventative measures and pressure ulcer/injury management principles are being adhered to when new pressure ulcers/injuries develop or when existing pressure ulcers/injuries worsen.']","There are three stages of pressure injury development: Stage 1, Stage 2, and Stage 3.","Stage 1 (redness), Stage 2 (partial thickness loss), Stage 3 (full thickness loss), Stage 4 (deep tissue loss).",0.5,0.91239892287811,0.0,0.0
Is Hashimoto's syndrome inherited ?,"['Retinoblastoma Age usually below Skull x-ray Refer to ophthal-\n\n3 years Inherited Urine catecholamines mologist and oncologist', '- I2900, diabetes mellitus (DM) (e.g., diabetic retinopathy, nephropathy, neuropathy)\n\n- I3100, hyponatremia\n\n- I3200, hyperkalemia\n\n- I3300, hyperlipidemia (e.g., hypercholesterolemia)\n\n- I3400, thyroid disorder (e.g., hypothyroidism, hyperthyroidism, Hashimoto’s', 'Neoplastic goitre can be benign or malignant.\n\nThyroiditis, e.g., Hashimoto’s disease.\n\nInfection related goitres: These are rare goitres and may be caused by tuberculosis or syphilis.']",Hashimoto's is an autoimmune condition that occurs when the body attacks its own tissues and organs. The cause of Hashimoto's is unknown. It is thought to result from a combination of genetic and environmental factors.,"Is Hashimoto's syndrome inherited? The inheritance pattern of Hashimoto's syndrome is unclear because many genetic and environmental factors appear to be involved. However, the condition can cluster in families, and having a close relative with Hashimoto's syndrome or another autoimmune disorder likely increases a person's risk of developing the condition.",0.4,0.734893404844926,0.3333333333,0.5
What is (are) D-bifunctional protein deficiency ?,"['Although there are no data from national surveys, vitamin D deficiency is common in many parts of the country, usually starting during the second half of\n\nthe first year. For children who were born premature, the deficiency is diagnosed much earlier.', 'Macronutrient malnutrition presents as protein energy malnutrition (PEM). PEM is a common disorder which covers a wide spectrum of deficiency in nutrition\n\nranging from mild or underweight to severe forms like marasmus and kwashiorkor. The first sign of PEM is poor weight gain.', 'Alpha-foetoproteins: Substantial elevations of alpha-foetoproteins are found in\n\nmalignancy.\n\nParacentesis of ascitic fluid: Protein content <3g% is found in cirrhosis.\n\nProtein content >3g% is found in tuberculosis, peritoneal tumours, peritoneal\n\n<!-- page: 303 -->']","D-BIFN deficiency is an inherited condition that affects the production of two types of proteins called d-bifunctional proteins. These proteins play important roles in the body's immune system and other functions. People with this condition have low levels of these proteins in their blood. This can lead to various health problems, including:

-- Anemia (a lack of healthy red blood cells)
-- Bone pain
-- Joint swelling and stiffness
-- Muscle weakness and wasting
-- Skin changes such as rashes and eczema
-- Mental retardation and learning disabilities
-- Hearing loss
-- Vision problems
-- Abnormalities of the heart valves (arrhythmias)

The cause of d-BIFN deficiency is unknown. It may be caused by mutations in the D-BIFN gene or other genes involved in protein synthesis.","D-bifunctional protein deficiency is a disorder that causes deterioration of nervous system functions (neurodegeneration) beginning in infancy. Newborns with D-bifunctional protein deficiency have weak muscle tone (hypotonia) and seizures. Most babies with this condition never acquire any developmental skills. Some may reach very early developmental milestones such as the ability to follow movement with their eyes or control their head movement, but they experience a gradual loss of these skills (developmental regression) within a few months. As the condition gets worse, affected children develop exaggerated reflexes (hyperreflexia), increased muscle tone (hypertonia), more severe and recurrent seizures (epilepsy), and loss of vision and hearing. Most children with D-bifunctional protein deficiency do not survive past the age of 2. A small number of individuals with this disorder are somewhat less severely affected. They may acquire additional basic skills, such as voluntary hand movements or unsupported sitting, before experiencing developmental regression, and they may survive longer into childhood than more severely affected individuals. Individuals with D-bifunctional protein deficiency may have unusual facial features, including a high forehead, widely spaced eyes (hypertelorism), a lengthened area between the nose and mouth (philtrum), and a high arch of the hard palate at the roof of the mouth. Affected infants may also have an unusually large space between the bones of the skull (fontanel). An enlarged liver (hepatomegaly) occurs in about half of affected individuals. Because these features are similar to those of another disorder called Zellweger syndrome (part of a group of disorders called the Zellweger spectrum), D-bifunctional protein deficiency is sometimes called pseudo-Zellweger syndrome.",,0.0,0.0,0.0
How many people are affected by mucopolysaccharidosis type II ?,"['■ How many people are required to only a portion of the equipment operate the lift for lifting of a needed, it should be located in the\n\ntypical 200-pound person? areas where the needs are greatest.\n\n■ Does the lift activation device Employers should also establish\n\n(pendant) have remote capabilities? routine maintenance schedules to\n\n■ How many sizes and types of ensure that the equipment is in good slings are available? What type of working order.', '— Example: Item D0150H, Moving or Speaking So Slowly That Other People Could Have Noticed. Or the Opposite—Being So Fidgety or Restless That You Have\n\nBeen Moving Around a Lot More than Usual.\n\n○ You can simplify this item by asking: “How often are you having problems with moving or speaking so slowly that other people could have noticed?” (pause for\n\nresponse) “How often have you felt so fidgety or restless that you move around a', '- The ability to swallow safely can be affected by many disease processes and functional decline.\n\n- Alterations in the ability to swallow can result in choking and aspiration, which can increase the resident’s risk for malnutrition, dehydration, and aspiration pneumonia.']",The prevalence of Mucopolysaccharidosis type II is unknown.,"MPS II occurs in approximately 1 in 100,000 to 1 in 170,000 males.",0.0,0.0,0.0,0.0
What is the mucociliary escalator and how does it prevent infection?,"['It is important that the infection prevention and control program define how often and by what means surveillance data will be collected, regardless of whether the facility creates its own\n\nforms, purchases preprinted forms, or uses automated systems.', 'Antibiotherapy is not recommended: it does not promote recovery nor prevent complications.', 'The facility has policies and procedures addressing linen handling and how it monitors how linens are stored, transported, and processed to prevent the spread']",A device used in medical facilities to help prevent infections by keeping germs from spreading through the air.,A mechanism in the respiratory tract that traps and removes microbes using mucus and cilia.,0.0,0.6080310458037785,0.0,0.0
what research (or clinical trials) is being done for Attention Deficit-Hyperactivity Disorder ?,"['The clinical features include hyperactivity that is usually goal oriented, over\n\ngenerosity, extravagance, disinhibition (promiscuity and drug abuse), irritability,\n\n<!-- page: 172 -->', 'Specific clinical conditions: The resident has an infection with fever and is in a hypermetabolic state associated with an increased demand for energy and protein. The resident\n\nalso has a neuromuscular disorder affecting the ability to eat or swallow, and has impaired cognition affecting attention and appetite.', '―Treatment‖ is defined as care provided for purposes of maintaining/restoring health, improving functional level, or relieving symptoms.\n\n―Experimental research‖ is defined as development and testing of clinical treatments, such as an investigational drug or therapy, that involve treatment and/or control groups.\n\nFor example, a clinical trial of an investigational drug would be experimental research.\n\n<!-- page: 13 -->']",Research on ADHD includes studies looking at how it affects children and adults. Some researchers are studying whether certain drugs can help people who have ADHD. Other researchers are trying to find out why some children and adults become more active when they have ADHD than others.,"Several components of the NIH support research on developmental disorders such as ADHD. Research programs of the NINDS, the National Institute of Mental Health (NIMH), and the National Institute of Child Health and Human Development (NICHD) seek to address unanswered questions about the causes of ADHD, as well as to improve diagnosis and treatment.",0.0,0.7265613668553095,0.9999999999,0.5
What is the main function of the respiratory system?,"['This occurs when multiple fractures are sustained with more than one site per rib. The main danger is that the patient may lapse into respiratory failure.', '- Resident sex on the MDS must match what is in the Social Security system.', '- Resident gendersex on the MDS must match what is in the Social Security system.']",The main function of the respiratory system is to exchange gases between the body and the external environment.,The main function of the respiratory system is to provide the body with oxygen and remove carbon dioxide.,0.0,0.9999999999999089,0.0,0.0
What to do for Medullary Sponge Kidney ?,"['b. What did the facility do to decrease behavioral symptoms?\n\nc. What did the facility do to improve gross and fine motor coordination?\n\nd. What did the facility do to improve sensory awareness, visual-spatial awareness, and body integration?\n\ne. What did the facility do to improve memory, problem solving, attention span, and the ability to recognize safety hazards?\n\n3. For speech-language pathology.', 'd. What did the facility do to increase the amount of physical activity the resident could do (for example, the number of repetitions of an exercise, the distance\n\nwalked)?\n\ne. What did the facility do to prevent or minimize contractures, which could lead to decreased mobility and increased risk of pressure ulcer occurrence?\n\n2. For occupational therapy\n\na. What did the facility do to decrease the amount of assistance needed to perform a task?', '3. For speech-language pathology.\n\na. What did the facility do to improve auditory comprehension such as understanding common, functional words, concepts of time and place, and\n\nconversation?\n\nb. What did the facility do to improve speech production?\n\nc. What did the facility do to improve the expressive behavior such as the ability to name common, functional items?\n\n<!-- page: 500 -->']","If you have medullary sponge kidney, your kidneys may not be able to filter out all the waste products from your body. This can cause high blood pressure and other problems. Your doctor will check your blood pressure regularly to make sure it is within normal range. If your blood pressure is too high, he or she may prescribe medicine to lower it. You should also eat a low salt diet to help keep your blood pressure under control.","The following changes in diet may help prevent UTIs and kidney stone formation: - Drinking plenty of water and other liquids can help flush bacteria from the urinary tract and dilute urine so kidney stones cannot form. A person should drink enough liquid to produce about 2 to 2.5 quarts of urine every day.3 - Reducing sodium intake, mostly from salt, may help prevent kidney stones. Diets high in sodium can increase the excretion of calcium into the urine and thus increase the chance of calciumcontaining kidney stones forming. - Foods rich in animal proteins such as meat, eggs, and fish can increase the chance of uric acid stones and calcium stones forming. People who form stones should limit their meat consumption to 6 to 8 ounces a day.4 - People who are more likely to develop calcium oxalate stones should include 1,000 milligrams of calcium in their diet every day. Adults older than 50 years should consume 1,200 milligrams of calcium daily.3 Calcium in the digestive tract binds to oxalate from food and keeps it from entering the blood and the urinary tract, where it can form stones. People with medullary sponge kidney should talk with their health care provider or a dietitian before making any dietary changes. A dietitian can help a person plan healthy meals.",0.0,0.7567049089418898,0.0,0.0
What causes Childhood Nephrotic Syndrome ?,"['Previous history of renal disease, e.g., acute nephritis, nephrotic syndrome is present.\n\nThere is known history of hypertension.\n\nThere is known history of diabetes mellitus.\n\nBlood urea and serum creatinine levels are high.\n\nSome of the systemic manifestations listed above are present.\n\n<!-- page: 164 -->', 'Approximately 10,000 cases of childhood blindness occur annually. The causes\n\ninclude congenital cataract, corneal diseases, measles disease, congenital\n\nglaucoma. and retinoblastoma.', 'Chronic renal failure should be suspected in the presence of the following:\n\nA previous history of renal disease e.g. acute nephritis, nephrotic syndrome.\n\nA known history of hypertension.\n\nA known history of diabetes mellitus.\n\nHigh blood urea and serum creatinine.\n\nSome of the systemic manifestation listed under “manifestations of chronic renal failure”.']",The cause of childhood nephrotic syndrome is unknown. It may be related to genetic factors or immune system disorders.,"While idiopathic, or unknown, diseases are the most common cause of primary childhood nephrotic syndrome, researchers have linked certain diseases and some specific genetic changes that damage the kidneys with primary childhood nephrotic syndrome. The cause of secondary childhood nephrotic syndrome is an underlying disease or infection. Called a primary illness, its this underlying disease or infection that causes changes in the kidney function that can result in secondary childhood nephrotic syndrome. Congenital diseasesdiseases that are present at birthcan also cause childhood nephrotic syndrome. Primary Childhood Nephrotic Syndrome The following diseases are different types of idiopathic childhood nephrotic syndrome: - Minimal change disease involves damage to the glomeruli that can be seen only with an electron microscope. This type of microscope shows tiny details better than any other microscope. Scientists do not know the exact cause of minimal change disease. Minimal change disease is the most common cause of idiopathic childhood nephrotic syndrome.1 - Focal segmental glomerulosclerosis is scarring in scattered regions of the kidney: - Focal means that only some of the glomeruli become scarred. - Segmental means damage affects only part of an individual glomerulus. - Membranoproliferative glomerulonephritis is a group of disorders involving deposits of antibodies that build up in the glomeruli, causing thickening and damage. Antibodies are proteins made by the immune system to protect the body from foreign substances such as bacteria or viruses. Secondary Childhood Nephrotic Syndrome Some common diseases that can cause secondary childhood nephrotic syndrome include - diabetes, a condition that occurs when the body cannot use glucosea type of sugarnormally - Henoch-Schnlein purpura, a disease that causes small blood vessels in the body to become inflamed and leak - hepatitis, inflammation of the liver caused by a virus - human immunodeficiency virus (HIV), a virus that alters the immune system - lupus, an autoimmune disease that occurs when the body attacks its own immune system - malaria, a disease of the blood that is spread by mosquitos - streptococcal infection, an infection that results when the bacteria that causes strep throat or a skin infection is left untreated Other causes of secondary childhood nephrotic syndrome can include certain medications, such as aspirin, ibuprofen, or other nonsteroidal anti-inflammatory drugs, and exposure to chemicals, such as mercury and lithium. Congenital Diseases and Childhood Nephrotic Syndrome Congenital nephrotic syndrome is rare and affects infants in the first 3 months of life.2 This type of nephrotic syndrome, sometimes called infantile nephrotic syndrome, can be caused by - inherited genetic defects, which are problems passed from parent to child through genes - infections at the time of birth More information about underlying diseases or infections that cause changes in kidney function is provided in the NIDDK health topic, Glomerular Diseases.",0.0,0.9864941558492525,0.9999999999666667,
What is (are) Childhood Central Nervous System Germ Cell Tumors ?,"['Central nervous system diseases (e.g., tumors and other mass lesions,', '4. Central Nervous System 39', '39. Central Nervous System 286']","Childhood central nervous system germ cell tumors are rare types of brain cancer that develop in the developing brain during fetal development. These tumors usually occur in children between the ages of 5 and 10 years. They can be found anywhere in the brain, but most commonly affect the cerebellum (the part of the brain that controls movement), the frontal lobe (the front part of the brain that controls thinking and planning), or the spinal cord.

The exact cause of childhood central nervous system germ cell tumors is unknown. However, it has been suggested that certain genetic changes may increase the risk for these tumors. Other factors that have been associated with an increased risk include:

- Family history of brain tumors
- Exposure to radiation during pregnancy or early childhood
- Certain infections such as rubella (German measles)
- Certain drugs such as thalidomide (Dopamine)

Treatment for childhood central nervous system germ cell tumors depends on the type and stage of the tumor. Some cases respond well to surgery; others may require chemotherapy, radiation therapy, or a combination of both treatments.","Key Points - Childhood central nervous system (CNS) germ cell tumors form from germ cells. - There are different types of childhood CNS germ cell tumors. - Germinomas - Nongerminomas - The cause of most childhood CNS germ cell tumors is not known. - Signs and symptoms of childhood CNS germ cell tumors include unusual thirst, frequent urination, early puberty, or vision changes. - Imaging studies and tests are used to detect (find) and diagnose childhood CNS germ cell tumors. - A biopsy may be done to be sure of the diagnosis of CNS germ cell tumor. - Certain factors affect prognosis (chance of recovery). Childhood central nervous system (CNS) germ cell tumors form from germ cells. Germ cells are a type of cell that form as a fetus (unborn baby) develops. These cells later become sperm in the testicles or eggs in the ovaries. Sometimes while the fetus is forming, germ cells travel to other parts of the body and grow into germ cell tumors. Germ cells tumors that form in the brain or spinal cord are called CNS germ cell tumors. The most common places for one or more central nervous system (CNS) germ cell tumors to form is near the pineal gland and in an area of the brain that includes the pituitary gland and the tissue just above it. Sometimes germ cell tumors may form in other areas of the brain. This summary is about germ cell tumors that start in the central nervous system (brain and spinal cord). Germ cell tumors may also form in other parts of the body. See the PDQ summary on Childhood Extracranial Germ Cell Tumors Treatment for information on germ cell tumors that are extracranial (outside the brain). CNS germ cell tumors usually occur in children, but may occur in adults. Treatment for children may be different than treatment for adults. See the following PDQ summaries for information about treatment for adults: - Adult Central Nervous System Tumors Treatment - Extragonadal Germ Cell Tumors Treatment For information about other types of childhood brain and spinal cord tumors, see the PDQ summary on Childhood Brain and Spinal Cord Tumors Treatment Overview. There are different types of childhood CNS germ cell tumors. There are different types of CNS germ cell tumors. The type of CNS germ cell tumor depends on what the cells look like under a microscope. This summary is about the treatment of the following types of CNS germ cell tumors: Germinomas Germinomas are the most common type of CNS germ cell tumor and have a good prognosis. Nongerminomas Some nongerminomas make hormones. CNS teratomas are a type of nongerminoma that does not make hormones. They may have different kinds of tissue in them, such as hair, muscle, and bone. Teratomas are described as mature or immature, based on how normal the cells look under a microscope. Sometimes teratomas are a mix of mature and immature cells. Other types of nongerminomas include the following: - Choriocarcinomas make the hormone beta-human chorionic gonadotropin (-hCG). - Embryonal carcinomas do not make hormones. - Yolk sac tumors make the hormone alpha-fetoprotein (AFP). - Mixed germ cell tumors are made of more than one kind of germ cell.",,0.9864762253331335,0.9999999999666667,
