question,reference,prediction,rouge1,rouge2,rougeL,bleu
What is the nursing process used for in fluid and electrolyte imbalances?,It ensures continuous assessment and appropriate interventions as conditions change rapidly.,"The nursing process involves assessing patient condition, implementing interventions, monitoring outcomes, and adjusting treatment plans based on evidence-based guidelines.",0.2581,0.0,0.129,0.0
What should be included in a hospital’s restraint policy?,"Requirements for documentation, alternative measures, behavioral criteria for removal, and monitoring procedures.","A clear policy outlining the use of restraints, their limits, and consequences for misuse.",0.1538,0.0,0.0769,0.0
Is cyclic vomiting syndrome inherited ?,"In most cases of cyclic vomiting syndrome, affected people have no known history of the disorder in their family. However, many affected individuals have a family history of related conditions, such as migraines, irritable bowel syndrome, or depression, in their mothers and other maternal relatives. This family history suggests an inheritance pattern known as maternal inheritance or mitochondrial inheritance, which applies to genes contained in mtDNA. Because egg cells, but not sperm cells, contribute mitochondria to the developing embryo, children can only inherit disorders resulting from mtDNA mutations from their mother. These disorders can appear in every generation of a family and can affect both males and females, but fathers do not pass traits associated with changes in mtDNA to their children. Occasionally, people with cyclic vomiting syndrome have a family history of the disorder that does not follow maternal inheritance. In these cases, the inheritance pattern is unknown.","This condition is inherited in an autosomal recessive pattern, which means both copies of the gene in each cell have mutations. The parents of an individual with an autosomal recessive condition each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",0.28,0.0404,0.15,0.0
Who is at risk for Neuroblastoma? ?,"Key Points - Screening tests have risks. - The risks of neuroblastoma screening include the following: - Neuroblastoma may be overdiagnosed. - False-negative test results can occur. - False-positive test results can occur. Screening tests have risks. Decisions about screening tests can be difficult. Not all screening tests are helpful and most have risks. Before having any screening test, you may want to discuss the test with your doctor. It is important to know the risks of the test and whether it has been proven to reduce the risk of dying from cancer. The risks of neuroblastoma screening include the following: Neuroblastoma may be overdiagnosed. When a screening test result leads to the diagnosis and treatment of a disease that may never have caused symptoms or become life-threatening, it is called overdiagnosis. For example, when a urine test result shows a higher than normal amount of homovanillic acid (HMA) or vanillyl mandelic acid (VMA), tests and treatments for neuroblastoma are likely to be done, but may not be needed. At this time, it is not possible to know which neuroblastomas found by a screening test will cause symptoms and which neuroblastomas will not. Diagnostic tests (such as biopsies) and cancer treatments (such as surgery, radiation therapy, and chemotherapy) can have serious risks, including physical and emotional problems. False-negative test results can occur. Screening test results may appear to be normal even though neuroblastoma is present. A person who receives a false-negative test result (one that shows there is no cancer when there really is) may delay seeking medical care even if there are symptoms. False-positive test results can occur. Screening test results may appear to be abnormal even though no cancer is present. A false-positive test result (one that shows there is cancer when there really isn't) can cause anxiety and is usually followed by more tests and procedures, which also have risks.","The most common type of neuroblastoma occurs in children under the age of 10. The second most common type of neuroblastoma occurs in adults over age 65.
                
Children with neuroblastoma have an increased risk of developing other types of cancer than neuroblastoma. For example, neuroblastoma can also occur in people who have:
                
Cancer of the blood (lymph) system
                
Cancer of the urinary tract
                
Cancer of the gastrointestinal (GI) tract
                
Cancer of the breast
                
Cancer of the prostate
                
Cancer of the skin
                
Cancer of the lung
                
Cancer of the colon
                
Cancer of the uterus
                
Cancer of the pancreas
                
Cancer of the thyroid
                
Cancer of the ovary
                
Cancer of the stomach
                
Cancer of the liver
                
Cancer of the brain
                
Cancer of the bone
                
Cancer of the eye
                
Cancer of the heart
                
Cancer of the kidney
                
Cancer of the spleen
                
Cancer of the thymus
                
Cancer of the testis
                
Cancer of the vagina
                
Cancer of the urethra
                
Cancer of the bladder
                
Cancer of the penis
                
Cancer of the bronchial air",0.1618,0.0208,0.112,0.0
What are the major drug interactions with Warfarin?,"NSAIDs, antibiotics, and antifungal medications interact with Warfarin.",Warfarin can increase bleeding risk by increasing platelet aggregation.,0.1176,0.0,0.1176,0.0
How do you convert 3:45 PM to military time?,3:45 PM in military time is 1545.,Convert 3:45 PM to military time as 1800.,0.5882,0.4,0.5882,0.0
What to do for Diabetic Neuropathies: The Nerve Damage of Diabetes ?,"- Diabetic neuropathies are nerve disorders caused by many of the abnormalities common to diabetes, such as high blood glucose. - Neuropathy can affect nerves throughout the body, causing numbness and sometimes pain in the hands, arms, feet, or legs, and problems with the digestive tract, heart, sex organs, and other body systems. - Treatment first involves bringing blood glucose levels within the normal range. Good blood glucose control may help prevent or delay the onset of further problems. - Foot care is an important part of treatment. People with neuropathy need to inspect their feet daily for any injuries. Untreated injuries increase the risk of infected foot sores and amputation. - Treatment also includes pain relief and other medications as needed, depending on the type of nerve damage. - Smoking increases the risk of foot problems and amputation. A health care provider may be able to provide help with quitting.","- Diabetic neuropathy is damage to the nerves caused by diabetes. - Diabetic neuropathy can affect any part of the body, but it most often affects the feet, hands, and legs. - Diabetic neuropathy causes pain, numbness, tingling, and weakness in the feet and hands. - Diabetic neuropathy may cause problems with walking, balance, coordination, and other movement. - Diabetic neuropathy can lead to foot ulcers and amputations. - Treatment depends on the type of diabetic neuropathy you have. - You can prevent diabetic neuropathy by controlling your blood glucose levels.",0.4541,0.1586,0.2882,0.0
What are the genetic changes related to 5q minus syndrome ?,"5q- syndrome is caused by deletion of a region of DNA from the long (q) arm of chromosome 5. Most people with 5q- syndrome are missing a sequence of about 1.5 million DNA building blocks (base pairs), also written as 1.5 megabases (Mb). However, the size of the deleted region varies. This deletion occurs in immature blood cells during a person's lifetime and affects one of the two copies of chromosome 5 in each cell. The commonly deleted region of DNA contains 40 genes, many of which play a critical role in normal blood cell development. Research suggests that loss of multiple genes in this region contributes to the features of 5q- syndrome. Loss of the RPS14 gene leads to the problems with red blood cell development characteristic of 5q- syndrome, and loss of MIR145 or MIR146A contributes to the megakaryocyte and platelet abnormalities and may promote the overgrowth of immature cells. Scientists are still determining how the loss of other genes in the deleted region might be involved in the features of 5q- syndrome.","Mutations in the SLC19A2 gene cause 5q minus syndrome. The SLC19A2 gene provides instructions for making an enzyme called sodium-sulfuric acid symporter (NSAS). This enzyme is found primarily in cells of the brain and spinal cord, where it helps regulate fluid levels within these tissues. NSAS transports sodium ions (Na+), which are positively charged atoms, into cells; however, it also transports sulfuric acid molecules (HSO4-), which are negatively charged atoms, out of cells. Mutations in the SLC19A2 gene disrupt the normal function of NSAS, leading to impaired transport of sodium ions into cells. As a result, sodium ions accumulate in cells, causing them to swell and burst prematurely. These abnormal cells eventually die, resulting in the characteristic features of 5q minus syndrome.",0.3123,0.0401,0.186,0.0
Which part of the spinal cord carries sensory information to the brain?,Ascending (sensory) pathways,The spinal cord carries sensory information from the skin to the brain via the peripheral nervous system (PNS).,0.0952,0.0,0.0952,0.0
How does religion differ from spirituality?,"Religion is an organized system of beliefs and practices, whereas spirituality is a broader concept of personal meaning and connection.",Religion is a personal belief system; spirituality is an emotional response to the divine.,0.5294,0.25,0.2941,0.0
